Artist_01,Artist_02
Demi Lovato,BLACKPINK
Demi Lovato,Stray Kids
Demi Lovato,Kacey Musgraves
Demi Lovato,Maren Morris
Halsey,Drake
Halsey,Kanye West
Halsey,Jay-Z
Halsey,Kendrick Lamar
Halsey,J. Cole
Halsey,Travis Scott
Halsey,Megan Thee Stallion
Halsey,Cardi B
Halsey,Nicki Minaj
Halsey,Lil Wayne
Halsey,21 Savage
Halsey,Metro Boomin
Halsey,Snoop Dogg
Halsey,Eminem
Halsey,Rihanna
Halsey,Beyoncé
Halsey,SZA
Halsey,H.E.R.
Halsey,Frank Ocean
Halsey,Coldplay
Halsey,Twenty One Pilots
Halsey,Fall Out Boy
Halsey,Panic! at the Disco
Halsey,Linkin Park
Halsey,Foo Fighters
Halsey,David Guetta
Halsey,Zedd
Halsey,Kygo
Halsey,Avicii
Halsey,Diplo
Halsey,Skrillex
Halsey,Martin Garrix
Halsey,Bad Bunny
Halsey,J Balvin
Halsey,Shakira
Halsey,Daddy Yankee
Halsey,Ozuna
Halsey,Maluma
Halsey,Karol G
Halsey,Luis Fonsi
Halsey,Nicky Jam
Halsey,BLACKPINK
Halsey,Stray Kids
Halsey,Maren Morris
Halsey,Sam Smith
Halsey,Ellie Goulding
Halsey,Rita Ora
Drake,Megan Thee Stallion
Drake,Cardi B
Drake,Snoop Dogg
Drake,H.E.R.
Drake,Frank Ocean
Drake,Imagine Dragons
Drake,Twenty One Pilots
Drake,Fall Out Boy
Drake,Panic! at the Disco
Drake,Linkin Park
Drake,Foo Fighters
Drake,Calvin Harris
Drake,David Guetta
Drake,The Chainsmokers
Drake,Marshmello
Drake,Zedd
Drake,Kygo
Drake,Avicii
Drake,Diplo
Drake,Martin Garrix
Drake,J Balvin
Drake,Shakira
Drake,Daddy Yankee
Drake,Maluma
Drake,Karol G
Drake,Luis Fonsi
Drake,Nicky Jam
Drake,BTS
Drake,BLACKPINK
Drake,Stray Kids
Drake,Kacey Musgraves
Drake,Maren Morris
Drake,Sam Smith
Drake,Ellie Goulding
Drake,Rita Ora
Kanye West,Megan Thee Stallion
Kanye West,21 Savage
Kanye West,Metro Boomin
Kanye West,SZA
Kanye West,H.E.R.
Kanye West,Imagine Dragons
Kanye West,Twenty One Pilots
Kanye West,Panic! at the Disco
Kanye West,Linkin Park
Kanye West,Foo Fighters
Kanye West,Calvin Harris
Kanye West,David Guetta
Kanye West,The Chainsmokers
Kanye West,Marshmello
Kanye West,Zedd
Kanye West,Kygo
Kanye West,Avicii
Kanye West,Diplo
Kanye West,Martin Garrix
Kanye West,Bad Bunny
Kanye West,J Balvin
Kanye West,Shakira
Kanye West,Daddy Yankee
Kanye West,Ozuna
Kanye West,Maluma
Kanye West,Karol G
Kanye West,Luis Fonsi
Kanye West,Nicky Jam
Kanye West,BTS
Kanye West,BLACKPINK
Kanye West,Stray Kids
Kanye West,Kacey Musgraves
Kanye West,Maren Morris
Kanye West,Ellie Goulding
Kanye West,Rita Ora
Jay-Z,Travis Scott
Jay-Z,Post Malone
Jay-Z,Megan Thee Stallion
Jay-Z,Cardi B
Jay-Z,Nicki Minaj
Jay-Z,Lil Wayne
Jay-Z,Future
Jay-Z,21 Savage
Jay-Z,Metro Boomin
Jay-Z,Snoop Dogg
Jay-Z,Rihanna
Jay-Z,Beyoncé
Jay-Z,SZA
Jay-Z,H.E.R.
Jay-Z,Frank Ocean
Jay-Z,Coldplay
Jay-Z,Imagine Dragons
Jay-Z,Twenty One Pilots
Jay-Z,Fall Out Boy
Jay-Z,Panic! at the Disco
Jay-Z,Foo Fighters
Jay-Z,Calvin Harris
Jay-Z,David Guetta
Jay-Z,The Chainsmokers
Jay-Z,Marshmello
Jay-Z,Zedd
Jay-Z,Kygo
Jay-Z,Avicii
Jay-Z,Diplo
Jay-Z,Skrillex
Jay-Z,Martin Garrix
Jay-Z,Bad Bunny
Jay-Z,J Balvin
Jay-Z,Shakira
Jay-Z,Daddy Yankee
Jay-Z,Ozuna
Jay-Z,Maluma
Jay-Z,Karol G
Jay-Z,Luis Fonsi
Jay-Z,Nicky Jam
Jay-Z,BTS
Jay-Z,BLACKPINK
Jay-Z,Stray Kids
Jay-Z,Kacey Musgraves
Jay-Z,Maren Morris
Jay-Z,Sam Smith
Jay-Z,Ellie Goulding
Jay-Z,Rita Ora
Kendrick Lamar,Post Malone
Kendrick Lamar,Megan Thee Stallion
Kendrick Lamar,Cardi B
Kendrick Lamar,Nicki Minaj
Kendrick Lamar,21 Savage
Kendrick Lamar,H.E.R.
Kendrick Lamar,Frank Ocean
Kendrick Lamar,Coldplay
Kendrick Lamar,Imagine Dragons
Kendrick Lamar,Twenty One Pilots
Kendrick Lamar,Fall Out Boy
Kendrick Lamar,Panic! at the Disco
Kendrick Lamar,Linkin Park
Kendrick Lamar,Foo Fighters
Kendrick Lamar,Calvin Harris
Kendrick Lamar,David Guetta
Kendrick Lamar,The Chainsmokers
Kendrick Lamar,Marshmello
Kendrick Lamar,Zedd
Kendrick Lamar,Kygo
Kendrick Lamar,Avicii
Kendrick Lamar,Diplo
Kendrick Lamar,Skrillex
Kendrick Lamar,Martin Garrix
Kendrick Lamar,Bad Bunny
Kendrick Lamar,J Balvin
Kendrick Lamar,Shakira
Kendrick Lamar,Daddy Yankee
Kendrick Lamar,Ozuna
Kendrick Lamar,Maluma
Kendrick Lamar,Karol G
Kendrick Lamar,Luis Fonsi
Kendrick Lamar,Nicky Jam
Kendrick Lamar,BTS
Kendrick Lamar,BLACKPINK
Kendrick Lamar,Stray Kids
Kendrick Lamar,Kacey Musgraves
Kendrick Lamar,Maren Morris
Kendrick Lamar,Sam Smith
Kendrick Lamar,Ellie Goulding
Kendrick Lamar,Rita Ora
J. Cole,Travis Scott
J. Cole,Post Malone
J. Cole,Megan Thee Stallion
J. Cole,Cardi B
J. Cole,Nicki Minaj
J. Cole,Lil Wayne
J. Cole,Future
J. Cole,21 Savage
J. Cole,Metro Boomin
J. Cole,Snoop Dogg
J. Cole,Eminem
J. Cole,Rihanna
J. Cole,Beyoncé
J. Cole,SZA
J. Cole,H.E.R.
J. Cole,Frank Ocean
J. Cole,Coldplay
J. Cole,Imagine Dragons
J. Cole,Twenty One Pilots
J. Cole,Fall Out Boy
J. Cole,Panic! at the Disco
J. Cole,Linkin Park
J. Cole,Foo Fighters
J. Cole,Calvin Harris
J. Cole,David Guetta
J. Cole,The Chainsmokers
J. Cole,Marshmello
J. Cole,Zedd
J. Cole,Kygo
J. Cole,Avicii
J. Cole,Diplo
